0. Type in your nick name. (*English ONLY),5. Did you eat Late-Night Meal in past six months?,6. Which meal have the highest average intake?,"7. If you worked out, how often did you work out in a week in past six months? (times)",10. Have your weight increased more than 2kg in the last six months?,"2-1. If you eat breakfast, how often did you eat breakfast in a week during past six month? (times)",9. How often did you eat snack in a week during last six months? (times),1. Which season do you gain a lot of weight? ,2. Did you eat breakfast in past six months?,3. Did you eat Lunch in past six months?,4. Did you eat Dinner in past six months?,,"8. On average, how many hours a day did you sleep in the past six months? (hours)"
Gek,Yes,Late-Night Meal,2,Yes,0,7,Winter,No,Yes,Yes,,6
Couch potato,Yes,Dinner,5,Yes,2,2,Season does not influence,Yes,Yes,Yes,,7
Pica,Yes,Lunch,4,Yes,2,5,Summer,Yes,Yes,Yes,,6
James,Yes,Dinner,5,Yes,7,3,Winter,Yes,Yes,Yes,,7
abc,Yes,Dinner,0,No,0,5,Season does not influence,No,Yes,Yes,,7
lightbird,Yes,Dinner,5,No,0,3,Season does not influence,No,Yes,Yes,,5
Jiny,Yes,Dinner,1,No,0,4,Fall,No,Yes,Yes,,6
shortbread,No,Lunch,2,No,1,4,Summer,Yes,Yes,Yes,,6
really,Yes,Dinner,0,No,0,3,Season does not influence,No,Yes,Yes,,8
Hyperion,Yes,Dinner,2,Yes,0,0,Winter,No,Yes,Yes,,6
mango,Yes,Dinner,5,No,0,7,Spring,No,Yes,Yes,,7
theSenate,Yes,Dinner,0,Yes,4,6,Summer,Yes,Yes,Yes,,7
Turtle,Yes,Late-Night Meal,5,No,4,7,Summer,Yes,Yes,Yes,,8
Jason,Yes,Late-Night Meal,2,No,0,4,Season does not influence,No,Yes,Yes,,5
HCS,Yes,Dinner,7,No,0,5,Winter,No,Yes,Yes,,7
NewZealand,Yes,Lunch,5,Yes,6,3,Summer,Yes,Yes,Yes,,6
jamie,Yes,Snack,0,Yes,0,6,Season does not influence,No,Yes,Yes,,6
UnderDog,Yes,Dinner,2,Yes,4,3,Winter,Yes,Yes,Yes,,4
Decoy,Yes,Lunch,4,No,7,1,Winter,Yes,Yes,Yes,,8
grace,Yes,Dinner,6,No,6,2,Season does not influence,Yes,Yes,Yes,,6
bp,Yes,Dinner,2,No,0,3,Winter,No,Yes,Yes,,6
SB,Yes,Dinner,2,No,3,0,Winter,Yes,Yes,Yes,,
joy,Yes,Dinner,0,Yes,2,5,Summer,Yes,Yes,Yes,,7
Lele,Yes,Dinner,0,Yes,1,1,Season does not influence,Yes,Yes,Yes,,6
onetwo,No,Dinner,0,No,0,1,Winter,No,Yes,Yes,,7
iwannagohome,No,Dinner,0,No,5,2,Winter,Yes,Yes,Yes,,7
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,5
